Global_ID,Original_Image,X_Center_Global,Y_Center_Global,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,4.51,554.85,15.64,5.63,Degraded,0.85,SW
2,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,72.33,420.89,33.31,12.0,Complex,0.84,SW
3,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,27.4,392.55,19.95,7.19,Complex,0.84,SW
4,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,451.77,449.63,29.83,10.75,Complex,0.83,SE
5,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,504.1,510.97,12.7,4.58,Complex,0.82,SE
6,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,572.52,275.99,24.56,8.85,Complex,0.81,NE
7,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,582.68,615.97,45.53,16.41,Complex/Overlapping,0.81,SE
8,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,398.62,540.74,43.72,15.75,Complex,0.78,SE
9,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,129.31,610.21,17.25,6.21,Complex,0.77,SW
10,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,39.72,304.37,91.06,32.81,Complex,0.75,NW
11,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,316.89,264.39,19.56,7.05,Complex/Overlapping,0.74,NW
12,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,585.63,309.91,20.23,7.29,Complex,0.74,NE
13,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,451.04,621.75,14.48,5.22,Complex,0.73,SE
14,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,93.54,262.84,9.82,3.54,Simple,0.72,NW
15,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,139.78,552.55,22.17,7.99,Complex/Overlapping,0.71,SW
16,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,615.83,192.17,21.76,7.84,Complex,0.7,NE
17,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,36.6,445.78,16.87,6.08,Complex,0.69,SW
18,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,489.52,512.83,29.26,10.54,Complex,0.68,SE
19,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,331.73,555.31,11.33,4.08,Complex,0.65,SE
20,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,81.65,248.84,11.26,4.06,Complex,0.64,NW
21,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,171.61,619.78,18.64,6.72,Complex,0.62,SW
22,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,484.06,625.1,15.29,5.51,Complex,0.61,SE
23,be71b3be-25b2-4fe3-9793-a9713942109e.jpg,614.76,99.93,30.32,10.92,Complex,0.6,NE
